# LWT-PWN is the IDS/LWT concept list linked to Princeton WordNet 3.0 word sense identifiers.
#
# by Lars Borin
#
# version 1.0
# 2015-03-31
# 
# License: CC-BY 4.0 International <https://creativecommons.org/licenses/by/4.0/>
# 
# If you use this dataset or derivatives of it in publications,
# please cite:
#
# Lars Borin, Bernard Comrie, Anju Saxena 2013. The Intercontinental Dictionary Series –
# a rich and principled database for language comparison. In Lars Borin and Anju Saxena (eds.),
# Approaches to Measuring Linguistic Differences. De Gruyter Mouton. 285–302.
#
# @incollection{Borin-Lars2013-26,
#	title		= "The {I}ntercontinental {D}ictionary {S}eries -- a rich and principled database for language comparison",
#	booktitle	= "Approaches to Measuring Linguistic Differences",
#	author		= "Borin, Lars and Comrie, Bernard and Saxena, Anju",
#	editor		= {Borin, Lars and Saxena, Anju},
#	year		= "2013",
#	publisher	= "De Gruyter Mouton",
#	address		= "Berlin",
#	pages		= "285--302"
# }
#
# Data format:
# <IDS/LWT concept ID>tab<English gloss>tab<relation>tab<PWN word sense ID>tab<PWN definition>
# 
# <relation> is one of
# ss : synonym
# iu : hyponym/subordinate/narrower (A iu B = 'A is a hyponym of B')
# ui : hyperonym/superordinate/broader (A ui B = 'A is a hyperonym of B')
# Mappings to SALDO senses are not disambiguated in this version. Alternatives are separated by ":".
#
#
S02.440	the brother	ss	brother%1:18:00::	a male with the same parents as someone else; "my brother still lives with our parents"
S02.444	the older brother	ss	big_brother%1:18:00::	big brother/n	an older brother
S02.445	the younger brother	ss	little_brother%1:18:00::	little brother/n	a younger brother; "my little brother just had his 50th birthday"
S02.450	the sister	ss	sister%1:18:00::	a female person who has the same parents as another person; "my sister married a musician"
S02.454	the older sister	ss	big_sister%1:18:00::	big sister/n	an older sister
S02.455	the younger sister	ss	little_sister%1:18:00::	little sister/n	a younger sister
S02.456	the sibling	ss	sibling%1:18:00::	a person's brother or sister
S02.458	the twins	ss	twin%1:18:00::	either of two offspring born at the same time from the same pregnancy
S02.460	the grandfather	ss	grandfather%1:18:00::	the father of your father or mother
S02.461	the old man	ss	old_man%1:18:02::	a man who is very old
S02.470	the grandmother	ss	grandmother%1:18:00::	the mother of your father or mother
S02.471	the old woman	ss	old_woman%1:18:00::	a woman who is old
S02.4711	the grandparents	ss	grandparent%1:18:00::	grandparent/n	a parent of your father or mother
S02.480	the grandson	ss	grandson%1:18:00::	a male grandchild
S02.490	the granddaughter	ss	granddaughter%1:18:00::	a female grandchild
S02.5000	the grandchild	ss	grandchild%1:18:00::	a child of your son or daughter
S02.510	the uncle	ss	uncle%1:18:00::	the brother of your father or mother; the husband of your aunt
S02.520	the aunt	ss	aunt%1:18:00::	the sister of your father or mother; the wife of your uncle
S02.530	the nephew	ss	nephew%1:18:00::	a son of your brother or sister
S02.540	the niece	ss	niece%1:18:00::	a daughter of your brother or sister
S02.550	the cousin	ss	cousin%1:18:00::	the child of your aunt or uncle
S02.560	the ancestors	ss	ancestor%1:18:00::	someone from whom you are descended (but usually more remote than a grandparent)
S02.570	the descendants	ss	descendants%1:14:00::	all of the offspring of a given progenitor; "we must secure the benefits of freedom for ourselves and our posterity"
S02.710	the stepfather	ss	stepfather%1:18:00::	the husband of your mother by a subsequent marriage
S02.720	the stepmother	ss	stepmother%1:18:00::	the wife of your father by a subsequent marriage
S02.730	the stepson	ss	stepson%1:18:00::	the son your spouse by a former marriage
S02.740	the stepdaughter	ss	stepdaughter%1:18:00::	a daughter of your spouse by a former marriage
S02.750	the orphan	ss	orphan%1:18:00::	a child who has lost both parents
S02.760	the widow	ss	widow%1:18:00::	a woman whose husband is dead especially one who has not remarried
S02.770	the widower	ss	widower%1:18:00::	a man whose wife is dead especially one who has not remarried
S02.810	the relatives	ss	relative%1:18:00::	a person related by blood or marriage; "police are searching for relatives of the deceased"; "he has distant relations back in New Jersey"
S02.820	the family	ss	family%1:14:00::	primary social group; parents and children; "he wanted to have a good job before starting a family"
S03.110	the animal	ss	animal%1:03:00::	a living organism characterized by voluntary movement
S03.120	male(2)	ss	male%3:00:00::	being the sex (of plant or animal) that produces gametes (spermatozoa) that perform the fertilizing function in generation; "a male infant"; "a male holly tree"
S03.130	female(2)	ss	female%3:00:00::	being the sex (of plant or animal) that produces fertilizable gametes (ova) from which offspring develop; "a female heir"; "female holly trees bear the berries"
S03.150	the livestock	ss	livestock%1:05:00::	any animals kept for use or profit
S03.160	the pasture	ss	pasture%1:15:00::	a field covered with grass or herbage and suitable for grazing by livestock
S03.180	the herdsman	ss	herdsman%1:18:00::	someone who drives a herd
S03.190	the stable or stall	ui	stable%1:06:00::	a farm building for housing horses or other livestock
S03.190	the stable or stall	ui	stall%1:06:03::	a compartment in a stable where a single animal is confined and fed
S03.200	the cattle	ss	cattle%1:05:00::	domesticated bovine animals as a group regardless of sex or age; "so many head of cattle"; "wait till the cows come home"; "seven thin and ill-favored kine"- Bible; "a team of oxen"
S03.210	the bull	ss	bull%1:05:01::	uncastrated adult male of domestic cattle
S03.220	the ox	ss	ox%1:05:02::	an adult castrated bull of the genus Bos; especially Bos taurus
S03.230	the cow	ss	cow%1:05:01::	female of domestic cattle: "`moo-cow' is a child's term"
S03.240	the calf	ss	calf%1:05:00::	young of domestic cattle
S03.250	the sheep	ss	sheep%1:05:00::	woolly usually horned ruminant mammal related to the goat
S03.260	the ram	ss	ram%1:05:00::	uncastrated adult male sheep; "a British term is `tup'"
S03.280	the ewe	ss	ewe%1:05:00::	female sheep
S03.290	the lamb	ss	lamb%1:05:00::	young sheep
S03.320	the boar	ui	boar%1:05:01::	an uncastrated male hog
S03.320	the boar	ui	boar%1:05:02::	Old World wild swine having a narrow body and prominent tusks from which most domestic swine come; introduced in United States
S03.340	the sow	ss	sow%1:05:00::	an adult female hog
S03.350	the pig	ss	pig%1:05:00::	domestic swine
S03.360	the goat	ss	goat%1:05:00::	any of numerous agile ruminants related to sheep but having a beard and straight horns
S03.370	the he-goat	ss	he-goat%1:05:00::	male goat
S03.380	the kid	ss	kid%1:05:00::	young goat
S03.410	the horse	ss	horse%1:05:00::	solid-hoofed herbivorous quadruped domesticated since prehistoric times
S03.420	the stallion	ss	stallion%1:05:00::	uncastrated adult male horse
S03.440	the mare	ss	mare%1:05:00::	female equine animal
S03.450	the foal or colt	ui	foal%1:05:00::	a young horse
S03.450	the foal or colt	ui	colt%1:05:02::	a young male horse under the age of four
S03.460	the donkey	ss	donkey%1:05:00::	domestic beast of burden descended from the African wild ass; patient but stubborn
S03.470	the mule	ss	mule%1:05:00::	hybrid offspring of a male donkey and a female horse; usually sterile
S03.500	the fowl	ss	fowl%1:05:00::	a domesticated gallinaceous bird thought to be descended from the red jungle fowl
S03.520	the cock/rooster	ui	cock%1:05:01::	adult male chicken
S03.520	the cock/rooster	ui	rooster%1:05:00::	adult male chicken
S03.540	the hen	ss	hen%1:05:01::	adult female chicken
S03.550	the chicken	ss	chicken%1:05:01::	a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl
S03.560	the goose	ss	goose%1:05:00::	web-footed long-necked typically gregarious migratory aquatic birds usually larger and less aquatic than ducks
S03.570	the duck	ss	duck%1:05:00::	small wild or domesticated web-footed broad-billed swimming bird usually having a depressed body and short legs
S03.580	the nest	ss	nest%1:17:00::	a structure in which animals lay eggs or give birth to their young
S03.581	the bird	ss	bird%1:05:00::	warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings
S03.582	the seagull	ss	seagull%1:05:00::	mostly white aquatic bird having long pointed wings and short legs
S03.583	the heron	ss	heron%1:05:00::	grey or white wading bird with long neck and long legs and (usually) long bill
S03.584	the eagle	ss	eagle%1:05:00::	any of various large keen-sighted diurnal birds of prey noted for their broad wings and strong soaring flight
S03.585	the hawk	ss	hawk%1:05:00::	diurnal bird of prey typically having short rounded wings and a long tail
